customerID,complaint,complaint_number,complaint_clean,keyword,Service Quality,Inconsistent Internet Speed,No Proactive Support,Overcharging,Not Communicated Extra Charges
9565-DJPIB,"The streaming TV service frequently buffers or crashes, making it impossible for me to watch anything without interruptions. This has been ongoing despite my high monthly charges, and I am very frustrated with the lack of reliability.",1,"the streaming tv service frequently buffers or crashes, making it impossible for me to watch anything without interruptions. this has been ongoing despite my high monthly charges, and i am very frustrated with the lack of reliability.",Service Quality,1,0,0,0,0
4342-HFXWS,"The DSL internet service has been inconsistent lately, with frequent slowdowns during peak hours. This is making it difficult for my family to complete their tasks online.",1,"the dsl internet service has been inconsistent lately, with frequent slowdowns during peak hours. this is making it difficult for my family to complete their tasks online.",Inconsistent Internet Speed,0,1,0,0,0
4342-HFXWS,"The streaming TV service often buffers excessively, even though I have a stable internet connection. This ruins the experience for my family.",2,"the streaming tv service often buffers excessively, even though i have a stable internet connection. this ruins the experience for my family.",Service Quality,1,0,0,0,0
4342-HFXWS,"Despite having tech support included, it takes a long time to get in touch with a representative when I call for assistance.",3,"despite having tech support included, it takes a long time to get in touch with a representative when i call for assistance.",No Proactive Support,0,0,1,0,0
4342-HFXWS,"The device protection plan I pay for did not cover a recent issue with my router, and I had to pay out of pocket for repairs.",4,"the device protection plan i pay for did not cover a recent issue with my router, and i had to pay out of pocket for repairs.",Overcharging,0,0,0,1,0
4342-HFXWS,"I requested a paper bill for my records, but the bills are often delayed, making it hard to keep track of my payments.",5,"i requested a paper bill for my records, but the bills are often delayed, making it hard to keep track of my payments.",Not Communicated Extra Charges,0,0,0,0,1
8988-ECPJR,"The internet service has been very inconsistent, with frequent outages and slow speeds, making it difficult to complete important tasks. This has been an ongoing issue despite being a loyal customer for 34 months.",1,"the internet service has been very inconsistent, with frequent outages and slow speeds, making it difficult to complete important tasks. this has been an ongoing issue despite being a loyal customer for 34 months.",Inconsistent Internet Speed,0,1,0,0,0
8988-ECPJR,I was disappointed to find out that there is no tech support available to help resolve my connectivity issues. It’s frustrating to pay for a premium service without proper assistance when problems arise.,2,i was disappointed to find out that there is no tech support available to help resolve my connectivity issues. it’s frustrating to pay for a premium service without proper assistance when problems arise.,No Proactive Support,0,0,1,0,0
8988-ECPJR,"The monthly charges are too high for the limited services provided, especially since I don’t even have Online Security or Device Protection. I feel like I’m not getting good value for my money.",3,"the monthly charges are too high for the limited services provided, especially since i don’t even have online security or device protection. i feel like i’m not getting good value for my money.",Overcharging,0,0,0,1,0
1567-DSCIC,"The internet speed with your fiber optic service has been consistently poor, especially when I try to use Streaming TV. This is unacceptable for the high monthly charges I'm paying.",1,"the internet speed with your fiber optic service has been consistently poor, especially when i try to use streaming tv. this is unacceptable for the high monthly charges i'm paying.",Inconsistent Internet Speed,0,1,0,0,0
1567-DSCIC,"When I contacted customer support about the slow internet, I was told there was no issue on your end, but the problem still hasn't been resolved. This lack of assistance is incredibly frustrating.",2,"when i contacted customer support about the slow internet, i was told there was no issue on your end, but the problem still hasn't been resolved. this lack of assistance is incredibly frustrating.",No Proactive Support,0,0,1,0,0
7722-CVFXN,"The internet speed on my fiber optic connection has been inconsistent lately, especially during peak hours, which disrupts my streaming services and online activities. I expect better service considering the high monthly charges.",1,"the internet speed on my fiber optic connection has been inconsistent lately, especially during peak hours, which disrupts my streaming services and online activities. i expect better service considering the high monthly charges.",No Proactive Support,0,0,1,0,0
4686-GEFRM,"The streaming movies service frequently buffers or fails to load content, despite having a high-speed fiber optic connection. This has been a recurring issue and needs immediate attention.",1,"the streaming movies service frequently buffers or fails to load content, despite having a high-speed fiber optic connection. this has been a recurring issue and needs immediate attention.",Inconsistent Internet Speed,0,1,0,0,0
5553-AOINX,"The streaming services I signed up for frequently buffer and have poor quality, even though I pay for high-speed fiber optic internet. This is incredibly frustrating, especially given the high monthly charges I am already paying.",1,"the streaming services i signed up for frequently buffer and have poor quality, even though i pay for high-speed fiber optic internet. this is incredibly frustrating, especially given the high monthly charges i am already paying.",Inconsistent Internet Speed,0,1,0,0,0
9360-AHGNL,"The streaming services I signed up for frequently buffer or fail to load altogether, even though I’m paying for high-speed fiber optic internet.",1,"the streaming services i signed up for frequently buffer or fail to load altogether, even though i’m paying for high-speed fiber optic internet.",Inconsistent Internet Speed,0,1,0,0,0
9360-AHGNL,"Despite having tech support included in my plan, it took days to get a response when I reported my internet connection dropping multiple times a day.",2,"despite having tech support included in my plan, it took days to get a response when i reported my internet connection dropping multiple times a day.",Inconsistent Internet Speed,0,1,0,0,0
9360-AHGNL,"The monthly charges for my services keep increasing, and I don’t feel I’m getting value for the amount I’m paying.",3,"the monthly charges for my services keep increasing, and i don’t feel i’m getting value for the amount i’m paying.",Inconsistent Internet Speed,0,1,0,0,0
9360-AHGNL,"I’ve had to call multiple times to resolve billing discrepancies, but the issue keeps recurring, and it’s incredibly frustrating.",4,"i’ve had to call multiple times to resolve billing discrepancies, but the issue keeps recurring, and it’s incredibly frustrating.",No Proactive Support,0,0,1,0,0
9103-TCIHJ,I’ve been experiencing frequent dropped calls and poor call quality despite having multiple lines. This has been very frustrating and is affecting my ability to stay connected.,1,i’ve been experiencing frequent dropped calls and poor call quality despite having multiple lines. this has been very frustrating and is affecting my ability to stay connected.,Service Quality,1,0,0,0,0
9103-TCIHJ,"The DSL internet speed is far slower than what was promised when I signed up, making it difficult to complete online tasks efficiently.",2,"the dsl internet speed is far slower than what was promised when i signed up, making it difficult to complete online tasks efficiently.",Service Quality,1,0,0,0,0
9103-TCIHJ,"When I reached out to customer service about the slow internet and poor call quality, I was given no helpful resolution and felt my concerns were dismissed.",3,"when i reached out to customer service about the slow internet and poor call quality, i was given no helpful resolution and felt my concerns were dismissed.",No Proactive Support,0,0,1,0,0
3874-EQOEP,"The streaming services I signed up for, including StreamingTV and StreamingMovies, frequently buffer or stop working altogether, making it impossible to enjoy any content.",1,"the streaming services i signed up for, including streamingtv and streamingmovies, frequently buffer or stop working altogether, making it impossible to enjoy any content.",No Proactive Support,0,0,1,0,0
3874-EQOEP,"I contacted customer support about the streaming issues, but I was put on hold for a long time and did not receive any meaningful assistance.",2,"i contacted customer support about the streaming issues, but i was put on hold for a long time and did not receive any meaningful assistance.",No Proactive Support,0,0,1,0,0
